"datekey","fulldate","day","dayname","week","month","monthname","quarter","year","isweekend","isholiday"
20230707,"2023-07-07",7,"Friday",27,7,"July",3,2023,False,False
20230708,"2023-07-08",8,"Saturday",27,7,"July",3,2023,True,False
20230710,"2023-07-10",10,"Monday",28,7,"July",3,2023,False,False
20230711,"2023-07-11",11,"Tuesday",28,7,"July",3,2023,False,False
20230720,"2023-07-20",20,"Thursday",29,7,"July",3,2023,False,False
20230728,"2023-07-28",28,"Friday",30,7,"July",3,2023,False,False
20230806,"2023-08-06",6,"Sunday",31,8,"August",3,2023,True,False
20230812,"2023-08-12",12,"Saturday",32,8,"August",3,2023,True,False
20230814,"2023-08-14",14,"Monday",33,8,"August",3,2023,False,False
20230901,"2023-09-01",1,"Friday",35,9,"September",3,2023,False,False
20230906,"2023-09-06",6,"Wednesday",36,9,"September",3,2023,False,False
20230917,"2023-09-17",17,"Sunday",37,9,"September",3,2023,True,False
20230930,"2023-09-30",30,"Saturday",39,9,"September",3,2023,True,False
20231002,"2023-10-02",2,"Monday",40,10,"October",4,2023,False,False
20231006,"2023-10-06",6,"Friday",40,10,"October",4,2023,False,False
20231007,"2023-10-07",7,"Saturday",40,10,"October",4,2023,True,False
20231023,"2023-10-23",23,"Monday",43,10,"October",4,2023,False,False
20231026,"2023-10-26",26,"Thursday",43,10,"October",4,2023,False,False
20231105,"2023-11-05",5,"Sunday",44,11,"November",4,2023,True,False
20231112,"2023-11-12",12,"Sunday",45,11,"November",4,2023,True,False
20231119,"2023-11-19",19,"Sunday",46,11,"November",4,2023,True,False
20231124,"2023-11-24",24,"Friday",47,11,"November",4,2023,False,False
20231129,"2023-11-29",29,"Wednesday",48,11,"November",4,2023,False,False
20231202,"2023-12-02",2,"Saturday",48,12,"December",4,2023,True,False
20231208,"2023-12-08",8,"Friday",49,12,"December",4,2023,False,False
20231220,"2023-12-20",20,"Wednesday",51,12,"December",4,2023,False,False
20231225,"2023-12-25",25,"Monday",52,12,"December",4,2023,False,False
20231230,"2023-12-30",30,"Saturday",52,12,"December",4,2023,True,False
20240102,"2024-01-02",2,"Tuesday",1,1,"January",1,2024,False,False
20240108,"2024-01-08",8,"Monday",2,1,"January",1,2024,False,False
20240119,"2024-01-19",19,"Friday",3,1,"January",1,2024,False,False
20240129,"2024-01-29",29,"Monday",5,1,"January",1,2024,False,False
20240203,"2024-02-03",3,"Saturday",5,2,"February",1,2024,True,False
20240213,"2024-02-13",13,"Tuesday",7,2,"February",1,2024,False,False
20240214,"2024-02-14",14,"Wednesday",7,2,"February",1,2024,False,False
20240223,"2024-02-23",23,"Friday",8,2,"February",1,2024,False,False
20240228,"2024-02-28",28,"Wednesday",9,2,"February",1,2024,False,False
20240301,"2024-03-01",1,"Friday",9,3,"March",1,2024,False,False
20240305,"2024-03-05",5,"Tuesday",10,3,"March",1,2024,False,False
20240314,"2024-03-14",14,"Thursday",11,3,"March",1,2024,False,False
20240320,"2024-03-20",20,"Wednesday",12,3,"March",1,2024,False,False
20240323,"2024-03-23",23,"Saturday",12,3,"March",1,2024,True,False
20240324,"2024-03-24",24,"Sunday",12,3,"March",1,2024,True,False
20240328,"2024-03-28",28,"Thursday",13,3,"March",1,2024,False,False
20240406,"2024-04-06",6,"Saturday",14,4,"April",2,2024,True,False
20240415,"2024-04-15",15,"Monday",16,4,"April",2,2024,False,False
20240420,"2024-04-20",20,"Saturday",16,4,"April",2,2024,True,False
20240421,"2024-04-21",21,"Sunday",16,4,"April",2,2024,True,False
20240505,"2024-05-05",5,"Sunday",18,5,"May",2,2024,True,False
20240512,"2024-05-12",12,"Sunday",19,5,"May",2,2024,True,False
20240514,"2024-05-14",14,"Tuesday",20,5,"May",2,2024,False,False
20240521,"2024-05-21",21,"Tuesday",21,5,"May",2,2024,False,False
20240526,"2024-05-26",26,"Sunday",21,5,"May",2,2024,True,False
20240527,"2024-05-27",27,"Monday",22,5,"May",2,2024,False,False
20240530,"2024-05-30",30,"Thursday",22,5,"May",2,2024,False,False
20240614,"2024-06-14",14,"Friday",24,6,"June",2,2024,False,False
20240618,"2024-06-18",18,"Tuesday",25,6,"June",2,2024,False,False
20240620,"2024-06-20",20,"Thursday",25,6,"June",2,2024,False,False
20240622,"2024-06-22",22,"Saturday",25,6,"June",2,2024,True,False
20240625,"2024-06-25",25,"Tuesday",26,6,"June",2,2024,False,False
20240703,"2024-07-03",3,"Wednesday",27,7,"July",3,2024,False,False
20240709,"2024-07-09",9,"Tuesday",28,7,"July",3,2024,False,False
20240712,"2024-07-12",12,"Friday",28,7,"July",3,2024,False,False
20240716,"2024-07-16",16,"Tuesday",29,7,"July",3,2024,False,False
20240721,"2024-07-21",21,"Sunday",29,7,"July",3,2024,True,False
20240727,"2024-07-27",27,"Saturday",30,7,"July",3,2024,True,False
20240806,"2024-08-06",6,"Tuesday",32,8,"August",3,2024,False,False
20240810,"2024-08-10",10,"Saturday",32,8,"August",3,2024,True,False
20240812,"2024-08-12",12,"Monday",33,8,"August",3,2024,False,False
20240814,"2024-08-14",14,"Wednesday",33,8,"August",3,2024,False,False
20240815,"2024-08-15",15,"Thursday",33,8,"August",3,2024,False,False
20240817,"2024-08-17",17,"Saturday",33,8,"August",3,2024,True,False
20240819,"2024-08-19",19,"Monday",34,8,"August",3,2024,False,False
20240828,"2024-08-28",28,"Wednesday",35,8,"August",3,2024,False,False
20240901,"2024-09-01",1,"Sunday",35,9,"September",3,2024,True,False
20240912,"2024-09-12",12,"Thursday",37,9,"September",3,2024,False,False
20240915,"2024-09-15",15,"Sunday",37,9,"September",3,2024,True,False
20240917,"2024-09-17",17,"Tuesday",38,9,"September",3,2024,False,False
20240922,"2024-09-22",22,"Sunday",38,9,"September",3,2024,True,False
20240924,"2024-09-24",24,"Tuesday",39,9,"September",3,2024,False,False
20240926,"2024-09-26",26,"Thursday",39,9,"September",3,2024,False,False
20240927,"2024-09-27",27,"Friday",39,9,"September",3,2024,False,False
20241002,"2024-10-02",2,"Wednesday",40,10,"October",4,2024,False,False
20241006,"2024-10-06",6,"Sunday",40,10,"October",4,2024,True,False
20241014,"2024-10-14",14,"Monday",42,10,"October",4,2024,False,False
20241015,"2024-10-15",15,"Tuesday",42,10,"October",4,2024,False,False
20241016,"2024-10-16",16,"Wednesday",42,10,"October",4,2024,False,False
20241017,"2024-10-17",17,"Thursday",42,10,"October",4,2024,False,False
20241018,"2024-10-18",18,"Friday",42,10,"October",4,2024,False,False
20241022,"2024-10-22",22,"Tuesday",43,10,"October",4,2024,False,False
20241024,"2024-10-24",24,"Thursday",43,10,"October",4,2024,False,False
20241102,"2024-11-02",2,"Saturday",44,11,"November",4,2024,True,False
20241107,"2024-11-07",7,"Thursday",45,11,"November",4,2024,False,False
20241110,"2024-11-10",10,"Sunday",45,11,"November",4,2024,True,False
20241117,"2024-11-17",17,"Sunday",46,11,"November",4,2024,True,False
20241127,"2024-11-27",27,"Wednesday",48,11,"November",4,2024,False,False
20241203,"2024-12-03",3,"Tuesday",49,12,"December",4,2024,False,False
20241204,"2024-12-04",4,"Wednesday",49,12,"December",4,2024,False,False
20241228,"2024-12-28",28,"Saturday",52,12,"December",4,2024,True,False
20241231,"2024-12-31",31,"Tuesday",1,12,"December",4,2024,False,False
20250105,"2025-01-05",5,"Sunday",1,1,"January",1,2025,True,False
20250110,"2025-01-10",10,"Friday",2,1,"January",1,2025,False,False
20250111,"2025-01-11",11,"Saturday",2,1,"January",1,2025,True,False
20250117,"2025-01-17",17,"Friday",3,1,"January",1,2025,False,False
20250125,"2025-01-25",25,"Saturday",4,1,"January",1,2025,True,False
20250129,"2025-01-29",29,"Wednesday",5,1,"January",1,2025,False,False
20250131,"2025-01-31",31,"Friday",5,1,"January",1,2025,False,False
20250211,"2025-02-11",11,"Tuesday",7,2,"February",1,2025,False,False
20250216,"2025-02-16",16,"Sunday",7,2,"February",1,2025,True,False
20250222,"2025-02-22",22,"Saturday",8,2,"February",1,2025,True,False
20250224,"2025-02-24",24,"Monday",9,2,"February",1,2025,False,False
20250306,"2025-03-06",6,"Thursday",10,3,"March",1,2025,False,False
20250315,"2025-03-15",15,"Saturday",11,3,"March",1,2025,True,False
20250322,"2025-03-22",22,"Saturday",12,3,"March",1,2025,True,False
20250323,"2025-03-23",23,"Sunday",12,3,"March",1,2025,True,False
20250324,"2025-03-24",24,"Monday",13,3,"March",1,2025,False,False
20250405,"2025-04-05",5,"Saturday",14,4,"April",2,2025,True,False
20250409,"2025-04-09",9,"Wednesday",15,4,"April",2,2025,False,False
20250410,"2025-04-10",10,"Thursday",15,4,"April",2,2025,False,False
20250417,"2025-04-17",17,"Thursday",16,4,"April",2,2025,False,False
20250425,"2025-04-25",25,"Friday",17,4,"April",2,2025,False,False
20250430,"2025-04-30",30,"Wednesday",18,4,"April",2,2025,False,False
20250501,"2025-05-01",1,"Thursday",18,5,"May",2,2025,False,False
20250508,"2025-05-08",8,"Thursday",19,5,"May",2,2025,False,False
20250509,"2025-05-09",9,"Friday",19,5,"May",2,2025,False,False
20250510,"2025-05-10",10,"Saturday",19,5,"May",2,2025,True,False
20250511,"2025-05-11",11,"Sunday",19,5,"May",2,2025,True,False
20250525,"2025-05-25",25,"Sunday",21,5,"May",2,2025,True,False
20250526,"2025-05-26",26,"Monday",22,5,"May",2,2025,False,False
20250529,"2025-05-29",29,"Thursday",22,5,"May",2,2025,False,False
20250531,"2025-05-31",31,"Saturday",22,5,"May",2,2025,True,False
20250603,"2025-06-03",3,"Tuesday",23,6,"June",2,2025,False,False
20250609,"2025-06-09",9,"Monday",24,6,"June",2,2025,False,False
20250620,"2025-06-20",20,"Friday",25,6,"June",2,2025,False,False
20250622,"2025-06-22",22,"Sunday",25,6,"June",2,2025,True,False
20250703,"2025-07-03",3,"Thursday",27,7,"July",3,2025,False,False
20250709,"2025-07-09",9,"Wednesday",28,7,"July",3,2025,False,False
20250710,"2025-07-10",10,"Thursday",28,7,"July",3,2025,False,False
20250715,"2025-07-15",15,"Tuesday",29,7,"July",3,2025,False,False
20250717,"2025-07-17",17,"Thursday",29,7,"July",3,2025,False,False
20250724,"2025-07-24",24,"Thursday",30,7,"July",3,2025,False,False
20250727,"2025-07-27",27,"Sunday",30,7,"July",3,2025,True,False
20250729,"2025-07-29",29,"Tuesday",31,7,"July",3,2025,False,False
20250808,"2025-08-08",8,"Friday",32,8,"August",3,2025,False,False
20250828,"2025-08-28",28,"Thursday",35,8,"August",3,2025,False,False
20250904,"2025-09-04",4,"Thursday",36,9,"September",3,2025,False,False
20250905,"2025-09-05",5,"Friday",36,9,"September",3,2025,False,False
20250907,"2025-09-07",7,"Sunday",36,9,"September",3,2025,True,False
20250910,"2025-09-10",10,"Wednesday",37,9,"September",3,2025,False,False
20250915,"2025-09-15",15,"Monday",38,9,"September",3,2025,False,False
20250916,"2025-09-16",16,"Tuesday",38,9,"September",3,2025,False,False
20250919,"2025-09-19",19,"Friday",38,9,"September",3,2025,False,False
20250930,"2025-09-30",30,"Tuesday",40,9,"September",3,2025,False,False
20251001,"2025-10-01",1,"Wednesday",40,10,"October",4,2025,False,False
20251013,"2025-10-13",13,"Monday",42,10,"October",4,2025,False,False
20251018,"2025-10-18",18,"Saturday",42,10,"October",4,2025,True,False
20251024,"2025-10-24",24,"Friday",43,10,"October",4,2025,False,False
20251112,"2025-11-12",12,"Wednesday",46,11,"November",4,2025,False,False
20251129,"2025-11-29",29,"Saturday",48,11,"November",4,2025,True,False
20251212,"2025-12-12",12,"Friday",50,12,"December",4,2025,False,False
20251216,"2025-12-16",16,"Tuesday",51,12,"December",4,2025,False,False
20251221,"2025-12-21",21,"Sunday",51,12,"December",4,2025,True,False
