"transactionkey","datekey","customerkey","branchkey","accountkey","employeekey","loankey","transactioncount","transactionamount","depositamount","withdrawalamount","transferamount","loandisbursementamount","loanrepaymentamount","interestamount","feeamount","fraudamount"
38,20240625,9,2,46,18,NULL,1,"24234.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
39,20240814,4,8,39,10,NULL,1,"34527.48","0.00","34527.48","0.00","0.00","0.00","0.00","0.00","0.00"
40,20240812,30,8,36,12,NULL,1,"28695.17","28695.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
41,20240817,32,5,19,13,NULL,1,"14417.14","14417.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
42,20240314,15,1,62,15,NULL,1,"41406.19","0.00","41406.19","0.00","0.00","0.00","0.00","0.00","0.00"
43,20240505,3,4,79,9,NULL,1,"2585.73","0.00","2585.73","0.00","0.00","0.00","0.00","0.00","0.00"
44,20241107,29,5,53,8,NULL,1,"5072.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
45,20250904,26,6,61,6,NULL,1,"37807.76","0.00","37807.76","0.00","0.00","0.00","0.00","0.00","0.00"
46,20240420,37,7,12,21,NULL,1,"36947.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
47,20250324,36,1,5,6,NULL,1,"9356.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
48,20241117,24,5,14,10,NULL,1,"22744.74","0.00","0.00","22744.74","0.00","0.00","0.00","0.00","0.00"
49,20240712,53,8,60,5,NULL,1,"40450.25","0.00","40450.25","0.00","0.00","0.00","0.00","0.00","0.00"
50,20230129,28,1,24,15,NULL,1,"39548.84","0.00","0.00","39548.84","0.00","0.00","0.00","0.00","0.00"
51,20250525,12,3,52,20,NULL,1,"16429.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
52,20230114,10,2,32,5,NULL,1,"19209.54","0.00","0.00","19209.54","0.00","0.00","0.00","0.00","0.00"
53,20230124,16,2,74,10,NULL,1,"32701.48","0.00","0.00","32701.48","0.00","0.00","0.00","0.00","0.00"
54,20250410,49,5,21,4,NULL,1,"46159.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
55,20240324,15,6,29,10,NULL,1,"23935.19","0.00","23935.19","0.00","0.00","0.00","0.00","0.00","0.00"
56,20240323,26,6,61,14,NULL,1,"34033.08","0.00","34033.08","0.00","0.00","0.00","0.00","0.00","0.00"
57,20230609,53,3,47,15,NULL,1,"5654.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
58,20241102,48,7,22,19,NULL,1,"22119.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
59,20230424,55,2,58,3,NULL,1,"6640.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
60,20230214,46,2,40,2,NULL,1,"12760.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
61,20230511,59,6,45,3,NULL,1,"49706.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
62,20250510,8,6,18,10,NULL,1,"49643.19","0.00","0.00","49643.19","0.00","0.00","0.00","0.00","0.00"
63,20230930,1,6,70,13,NULL,1,"5975.73","0.00","0.00","5975.73","0.00","0.00","0.00","0.00","0.00"
64,20230108,15,6,29,5,NULL,1,"48925.61","48925.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
65,20240521,34,4,30,18,NULL,1,"17340.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
66,20250508,36,1,5,24,NULL,1,"38314.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
67,20250703,36,1,5,3,NULL,1,"33617.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
68,20240320,34,4,30,2,NULL,1,"7049.77","7049.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
69,20241018,16,2,74,24,NULL,1,"15123.13","0.00","15123.13","0.00","0.00","0.00","0.00","0.00","0.00"
70,20231225,55,2,8,14,NULL,1,"27814.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
71,20241014,30,2,68,22,NULL,1,"20442.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
72,20240406,16,2,31,25,NULL,1,"42884.18","0.00","0.00","42884.18","0.00","0.00","0.00","0.00","0.00"
73,20251221,52,8,54,2,NULL,1,"19451.53","0.00","19451.53","0.00","0.00","0.00","0.00","0.00","0.00"
74,20250129,55,2,58,21,NULL,1,"26805.00","26805.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
75,20230322,21,5,78,13,NULL,1,"9448.76","9448.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
76,20240912,5,6,43,16,NULL,1,"10629.80","10629.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
77,20240223,10,2,32,25,NULL,1,"45760.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
78,20250105,35,1,69,10,NULL,1,"13115.00","0.00","0.00","13115.00","0.00","0.00","0.00","0.00","0.00"
79,20241017,26,6,61,4,NULL,1,"18566.71","0.00","18566.71","0.00","0.00","0.00","0.00","0.00","0.00"
80,20240618,24,3,3,8,NULL,1,"46741.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
81,20250216,34,4,30,5,NULL,1,"41676.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
82,20251001,51,3,63,22,NULL,1,"8453.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
83,20230501,28,1,24,24,NULL,1,"1739.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
84,20230520,34,4,30,1,NULL,1,"506.62","0.00","506.62","0.00","0.00","0.00","0.00","0.00","0.00"
85,20250916,3,4,79,2,NULL,1,"835.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
86,20240810,30,8,36,1,NULL,1,"25135.69","25135.69","0.00","0.00","0.00","0.00","0.00","0.00","25135.69"
87,20240129,16,2,31,4,NULL,1,"26346.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
88,20250729,12,3,52,13,NULL,1,"12198.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
89,20230711,36,1,5,3,NULL,1,"18994.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
90,20230619,48,7,22,21,NULL,1,"42274.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42274.22"
91,20240415,56,7,6,4,NULL,1,"45068.58","0.00","45068.58","0.00","0.00","0.00","0.00","0.00","0.00"
92,20230309,30,8,36,2,NULL,1,"46441.88","0.00","46441.88","0.00","0.00","0.00","0.00","0.00","0.00"
93,20230607,3,6,51,19,NULL,1,"8164.39","0.00","0.00","8164.39","0.00","0.00","0.00","0.00","0.00"
94,20241110,1,6,70,13,NULL,1,"37792.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
95,20230720,23,2,7,24,NULL,1,"11645.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
96,20250323,3,5,77,25,NULL,1,"1529.80","0.00","0.00","1529.80","0.00","0.00","0.00","0.00","0.00"
97,20250603,22,8,49,8,NULL,1,"34000.76","0.00","34000.76","0.00","0.00","0.00","0.00","0.00","0.00"
98,20230531,10,2,32,20,NULL,1,"13435.20","13435.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
99,20230707,24,5,14,13,NULL,1,"47150.86","47150.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
100,20240119,37,7,12,9,NULL,1,"22469.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
101,20230710,9,2,46,4,NULL,1,"29922.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29922.29"
102,20240512,59,6,11,10,NULL,1,"26079.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
103,20231026,45,3,64,9,NULL,1,"8402.01","8402.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
104,20240530,53,3,47,16,NULL,1,"36058.93","0.00","36058.93","0.00","0.00","0.00","0.00","0.00","0.00"
105,20240915,8,6,18,7,NULL,1,"47443.73","47443.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
106,20231006,27,3,56,11,NULL,1,"16067.22","0.00","0.00","16067.22","0.00","0.00","0.00","0.00","0.00"
107,20240819,29,3,41,6,NULL,1,"48389.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
108,20250117,3,6,51,9,NULL,1,"46606.75","46606.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
109,20230225,34,6,71,6,NULL,1,"47151.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
110,20250417,49,5,9,10,NULL,1,"7002.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
111,20250211,29,8,55,22,NULL,1,"22480.88","22480.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
112,20230317,52,8,54,13,NULL,1,"35096.63","0.00","0.00","35096.63","0.00","0.00","0.00","0.00","0.00"
113,20241228,10,2,32,3,NULL,1,"32367.64","0.00","32367.64","0.00","0.00","0.00","0.00","0.00","0.00"
114,20250531,5,6,43,22,NULL,1,"576.86","576.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
115,20240328,22,3,75,24,NULL,1,"18737.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
116,20250915,6,7,4,17,NULL,1,"14806.84","14806.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
117,20241203,46,2,40,24,NULL,1,"39224.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
118,20241015,55,2,58,16,NULL,1,"15048.19","15048.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
119,20240514,48,7,22,11,NULL,1,"8763.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
120,20250409,34,4,30,14,NULL,1,"9360.03","0.00","9360.03","0.00","0.00","0.00","0.00","0.00","0.00"
121,20250709,8,7,26,24,NULL,1,"21506.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
122,20230728,49,5,9,9,NULL,1,"9388.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
123,20251216,51,3,63,4,NULL,1,"29868.69","0.00","0.00","29868.69","0.00","0.00","0.00","0.00","0.00"
124,20231220,29,3,59,4,NULL,1,"45938.19","0.00","0.00","45938.19","0.00","0.00","0.00","0.00","0.00"
125,20240917,16,2,31,5,NULL,1,"9193.07","9193.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
126,20250224,16,2,74,14,NULL,1,"9328.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
127,20240119,8,6,18,6,NULL,1,"42107.16","0.00","0.00","42107.16","0.00","0.00","0.00","0.00","0.00"
128,20231007,51,3,63,12,NULL,1,"40770.04","0.00","40770.04","0.00","0.00","0.00","0.00","0.00","0.00"
129,20250501,51,3,63,16,NULL,1,"24460.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
130,20240716,36,1,5,25,NULL,1,"26903.55","0.00","26903.55","0.00","0.00","0.00","0.00","0.00","0.00"
131,20251112,45,3,64,24,NULL,1,"28657.07","28657.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
132,20250622,56,7,6,12,NULL,1,"10966.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
133,20230308,4,8,39,21,NULL,1,"13177.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
134,20240305,16,2,31,4,NULL,1,"34472.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
135,20240228,30,6,27,20,NULL,1,"28525.21","28525.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
136,20240815,29,4,38,18,NULL,1,"13403.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
137,20240721,55,2,8,25,NULL,1,"35086.26","0.00","35086.26","0.00","0.00","0.00","0.00","0.00","0.00"
138,20250315,10,2,32,23,NULL,1,"7151.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
139,20250405,37,7,12,15,NULL,1,"37502.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
140,20250727,37,7,12,11,NULL,1,"42512.81","0.00","0.00","42512.81","0.00","0.00","0.00","0.00","0.00"
141,20240703,45,3,64,14,NULL,1,"41425.76","0.00","0.00","41425.76","0.00","0.00","0.00","0.00","0.00"
142,20241204,51,3,63,5,NULL,1,"2344.85","2344.85","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
143,20250526,57,4,1,6,NULL,1,"49784.92","0.00","49784.92","0.00","0.00","0.00","0.00","0.00","0.00"
144,20240527,53,3,47,9,NULL,1,"18623.60","18623.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
145,20250529,34,4,30,21,NULL,1,"35199.72","35199.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
146,20251129,15,6,29,3,NULL,1,"513.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
147,20230526,15,1,62,14,NULL,1,"19184.34","0.00","19184.34","0.00","0.00","0.00","0.00","0.00","0.00"
148,20250222,8,6,18,12,NULL,1,"32096.73","0.00","32096.73","0.00","0.00","0.00","0.00","0.00","0.00"
149,20250620,48,7,22,19,NULL,1,"36135.48","0.00","0.00","36135.48","0.00","0.00","0.00","0.00","36135.48"
150,20230627,28,7,28,22,NULL,1,"7043.66","7043.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
151,20241006,29,8,55,13,NULL,1,"12426.93","0.00","12426.93","0.00","0.00","0.00","0.00","0.00","0.00"
152,20240806,21,5,78,20,NULL,1,"42402.21","42402.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
153,20240828,3,6,51,20,NULL,1,"39200.89","39200.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
154,20230526,3,5,77,4,NULL,1,"44441.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
155,20250511,24,5,73,11,NULL,1,"27340.49","0.00","0.00","27340.49","0.00","0.00","0.00","0.00","0.00"
156,20230129,49,5,9,3,NULL,1,"10826.36","0.00","0.00","10826.36","0.00","0.00","0.00","0.00","10826.36"
157,20250430,2,5,65,10,NULL,1,"35105.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
158,20240926,59,6,11,20,NULL,1,"25589.67","25589.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
159,20240927,49,5,9,11,NULL,1,"36511.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
160,20250717,6,1,15,3,NULL,1,"30461.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
161,20231202,27,2,2,1,NULL,1,"47653.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
162,20230917,24,1,48,24,NULL,1,"36660.15","0.00","0.00","36660.15","0.00","0.00","0.00","0.00","0.00"
163,20240622,49,5,9,14,NULL,1,"31395.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
164,20231208,24,5,73,12,NULL,1,"7907.63","0.00","0.00","7907.63","0.00","0.00","0.00","0.00","0.00"
165,20230106,34,7,66,24,NULL,1,"42941.52","42941.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
166,20240102,4,1,20,16,NULL,1,"27665.60","27665.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
167,20240709,29,3,41,8,NULL,1,"28598.22","28598.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
168,20230405,8,1,67,2,NULL,1,"3492.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
169,20250724,34,6,71,10,NULL,1,"18477.52","18477.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
170,20250808,10,2,32,10,NULL,1,"29604.96","0.00","0.00","29604.96","0.00","0.00","0.00","0.00","0.00"
171,20231105,10,2,32,18,NULL,1,"46623.26","46623.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
172,20241117,27,2,2,12,NULL,1,"37958.51","37958.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
173,20250509,16,2,31,7,NULL,1,"48061.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
174,20250425,8,1,67,2,NULL,1,"22949.98","0.00","0.00","22949.98","0.00","0.00","0.00","0.00","0.00"
175,20230603,3,6,51,17,NULL,1,"28412.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
176,20250315,29,3,41,10,NULL,1,"15936.98","0.00","0.00","15936.98","0.00","0.00","0.00","0.00","0.00"
177,20230812,22,3,75,7,NULL,1,"5327.60","0.00","5327.60","0.00","0.00","0.00","0.00","0.00","0.00"
178,20240301,9,2,46,14,NULL,1,"15449.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
179,20230324,4,8,39,6,NULL,1,"41804.44","0.00","41804.44","0.00","0.00","0.00","0.00","0.00","0.00"
180,20250322,9,2,46,23,NULL,1,"2495.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
181,20250715,12,3,52,6,NULL,1,"37416.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
182,20230906,8,6,18,4,NULL,1,"3130.38","3130.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
183,20240614,59,6,11,13,NULL,1,"1138.92","1138.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
184,20230708,39,8,17,21,NULL,1,"6170.26","0.00","0.00","6170.26","0.00","0.00","0.00","0.00","0.00"
185,20251013,3,6,51,19,NULL,1,"19167.34","19167.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
186,20240727,30,8,36,7,NULL,1,"44177.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
187,20251018,29,4,38,20,NULL,1,"44144.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
188,20240213,52,8,54,9,NULL,1,"12494.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
189,20250919,1,6,70,23,NULL,1,"45638.22","0.00","0.00","45638.22","0.00","0.00","0.00","0.00","0.00"
190,20240324,29,3,41,9,NULL,1,"44793.45","44793.45","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
191,20240421,22,3,75,16,NULL,1,"5051.71","0.00","5051.71","0.00","0.00","0.00","0.00","0.00","0.00"
192,20250306,15,6,29,24,NULL,1,"46763.54","0.00","0.00","46763.54","0.00","0.00","0.00","0.00","0.00"
193,20230227,9,2,46,19,NULL,1,"47380.56","0.00","0.00","47380.56","0.00","0.00","0.00","0.00","0.00"
194,20240924,45,3,64,7,NULL,1,"24547.30","0.00","24547.30","0.00","0.00","0.00","0.00","0.00","0.00"
195,20250905,30,2,68,20,NULL,1,"16620.11","16620.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
196,20241024,33,6,23,5,NULL,1,"1144.55","1144.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
197,20230529,53,3,47,4,NULL,1,"35241.67","0.00","0.00","35241.67","0.00","0.00","0.00","0.00","0.00"
198,20231119,8,6,18,11,NULL,1,"39602.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
199,20241231,3,4,79,23,NULL,1,"33293.31","0.00","33293.31","0.00","0.00","0.00","0.00","0.00","0.00"
200,20231230,39,8,17,24,NULL,1,"47441.97","47441.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
