transactionid,accountid,atmid,employeeid,transactiondate,transactiontype,amount,channel,status,isfraud
37,62,9,7,2025-12-12,Payment,15721.94,Mobile App,Success,0
38,46,15,18,2024-06-25,POS Purchase,24234.8,Online,Success,0
39,39,9,10,2024-08-14,Withdrawal,34527.48,Branch,Failed,0
40,36,8,12,2024-08-12,Deposit,28695.17,Branch,Pending,0
41,19,15,13,2024-08-17,Deposit,14417.14,Online,Success,0
42,62,15,15,2024-03-14,Withdrawal,41406.19,Branch,Success,0
43,79,12,9,2024-05-05,Withdrawal,2585.73,POS,Pending,0
44,53,11,8,2024-11-07,Payment,5072.22,Mobile App,Success,0
45,61,9,6,2025-09-04,Withdrawal,37807.76,ATM,Success,0
46,12,5,21,2024-04-20,POS Purchase,36947.39,Branch,Success,0
47,5,7,6,2025-03-24,Payment,9356.27,Mobile App,Success,0
48,14,1,10,2024-11-17,Transfer,22744.74,ATM,Pending,0
49,60,8,5,2024-07-12,Withdrawal,40450.25,POS,Success,0
50,24,12,15,2023-01-29,Transfer,39548.84,Mobile App,Pending,0
51,52,3,20,2025-05-25,POS Purchase,16429.94,Mobile App,Failed,0
52,32,3,5,2023-01-14,Transfer,19209.54,ATM,Failed,0
53,74,6,10,2023-01-24,Transfer,32701.48,Branch,Success,0
54,21,11,4,2025-04-10,POS Purchase,46159.15,ATM,Success,0
55,29,11,10,2024-03-24,Withdrawal,23935.19,ATM,Failed,0
56,61,6,14,2024-03-23,Withdrawal,34033.08,POS,Pending,0
57,47,9,15,2023-06-09,POS Purchase,5654.83,ATM,Pending,0
58,22,4,19,2024-11-02,POS Purchase,22119.94,POS,Success,0
59,58,8,3,2023-04-24,Payment,6640.62,POS,Failed,0
60,40,10,2,2023-02-14,Payment,12760.14,Online,Success,0
61,45,10,3,2023-05-11,POS Purchase,49706.48,Mobile App,Success,0
62,18,1,10,2025-05-10,Transfer,49643.19,Online,Failed,0
63,70,14,13,2023-09-30,Transfer,5975.73,Online,Pending,0
64,29,9,5,2023-01-08,Deposit,48925.61,Online,Failed,0
65,30,7,18,2024-05-21,Payment,17340.68,POS,Success,0
66,5,15,24,2025-05-08,POS Purchase,38314.37,Mobile App,Success,0
67,5,4,3,2025-07-03,POS Purchase,33617.58,Mobile App,Success,0
68,30,12,2,2024-03-20,Deposit,7049.77,Mobile App,Success,0
69,74,14,24,2024-10-18,Withdrawal,15123.13,Mobile App,Success,0
70,8,4,14,2023-12-25,Payment,27814.74,POS,Success,0
71,68,11,22,2024-10-14,Payment,20442.55,Branch,Success,0
72,31,3,25,2024-04-06,Transfer,42884.18,Online,Success,0
73,54,15,2,2025-12-21,Withdrawal,19451.53,Online,Success,0
74,58,6,21,2025-01-29,Deposit,26805.0,Mobile App,Success,0
75,78,5,13,2023-03-22,Deposit,9448.76,ATM,Pending,0
76,43,4,16,2024-09-12,Deposit,10629.8,POS,Success,0
77,32,12,25,2024-02-23,Payment,45760.57,ATM,Pending,0
78,69,13,10,2025-01-05,Transfer,13115.0,Branch,Pending,0
79,61,8,4,2024-10-17,Withdrawal,18566.71,Online,Failed,0
80,3,10,8,2024-06-18,POS Purchase,46741.17,ATM,Pending,0
81,30,5,5,2025-02-16,POS Purchase,41676.47,Online,Failed,0
82,63,11,22,2025-10-01,Payment,8453.27,POS,Success,0
83,24,3,24,2023-05-01,POS Purchase,1739.5,Mobile App,Success,0
84,30,13,1,2023-05-20,Withdrawal,506.62,ATM,Pending,0
85,79,6,2,2025-09-16,Payment,835.8,Online,Pending,0
86,36,7,1,2024-08-10,Deposit,25135.69,POS,Failed,1
87,31,2,4,2024-01-29,POS Purchase,26346.48,Mobile App,Success,0
88,52,13,13,2025-07-29,POS Purchase,12198.23,Branch,Success,0
89,5,11,3,2023-07-11,Payment,18994.24,Branch,Pending,0
90,22,1,21,2023-06-19,Payment,42274.22,Online,Success,1
91,6,14,4,2024-04-15,Withdrawal,45068.58,POS,Pending,0
92,36,5,2,2023-03-09,Withdrawal,46441.88,Online,Success,0
93,51,4,19,2023-06-07,Transfer,8164.39,ATM,Success,0
94,70,14,13,2024-11-10,Payment,37792.68,POS,Success,0
95,7,9,24,2023-07-20,Payment,11645.59,ATM,Success,0
96,77,10,25,2025-03-23,Transfer,1529.8,Branch,Success,0
97,49,8,8,2025-06-03,Withdrawal,34000.76,Online,Failed,0
98,32,13,20,2023-05-31,Deposit,13435.2,ATM,Failed,0
99,14,12,13,2023-07-07,Deposit,47150.86,Mobile App,Failed,0
100,12,13,9,2024-01-19,Payment,22469.74,Branch,Pending,0
101,46,7,4,2023-07-10,POS Purchase,29922.29,POS,Success,1
102,11,1,10,2024-05-12,POS Purchase,26079.17,Online,Failed,0
103,64,3,9,2023-10-26,Deposit,8402.01,Mobile App,Success,0
104,47,5,16,2024-05-30,Withdrawal,36058.93,Online,Failed,0
105,18,10,7,2024-09-15,Deposit,47443.73,POS,Success,0
106,56,7,11,2023-10-06,Transfer,16067.22,POS,Success,0
107,41,6,6,2024-08-19,Payment,48389.77,Online,Success,0
108,51,7,9,2025-01-17,Deposit,46606.75,Branch,Success,0
109,71,9,6,2023-02-25,Payment,47151.6,POS,Success,0
110,9,13,10,2025-04-17,Payment,7002.0,Online,Success,0
111,55,5,22,2025-02-11,Deposit,22480.88,Mobile App,Pending,0
112,54,10,13,2023-03-17,Transfer,35096.63,Online,Pending,0
113,32,11,3,2024-12-28,Withdrawal,32367.64,POS,Success,0
114,43,11,22,2025-05-31,Deposit,576.86,POS,Success,0
115,75,9,24,2024-03-28,Payment,18737.27,Mobile App,Failed,0
116,4,12,17,2025-09-15,Deposit,14806.84,POS,Success,0
117,40,14,24,2024-12-03,Payment,39224.29,ATM,Pending,0
118,58,6,16,2024-10-15,Deposit,15048.19,Online,Success,0
119,22,14,11,2024-05-14,POS Purchase,8763.94,ATM,Success,0
120,30,9,14,2025-04-09,Withdrawal,9360.03,Branch,Failed,0
121,26,1,24,2025-07-09,POS Purchase,21506.16,Online,Success,0
122,9,4,9,2023-07-28,POS Purchase,9388.64,Mobile App,Success,0
123,63,8,4,2025-12-16,Transfer,29868.69,Mobile App,Pending,0
124,59,10,4,2023-12-20,Transfer,45938.19,Online,Pending,0
125,31,11,5,2024-09-17,Deposit,9193.07,ATM,Success,0
126,74,7,14,2025-02-24,Payment,9328.4,POS,Pending,0
127,18,9,6,2024-01-19,Transfer,42107.16,Mobile App,Pending,0
128,63,14,12,2023-10-07,Withdrawal,40770.04,ATM,Pending,0
129,63,11,16,2025-05-01,Payment,24460.54,POS,Success,0
130,5,1,25,2024-07-16,Withdrawal,26903.55,POS,Success,0
131,64,10,24,2025-11-12,Deposit,28657.07,Online,Success,0
132,6,14,12,2025-06-22,POS Purchase,10966.17,POS,Failed,0
133,39,12,21,2023-03-08,Payment,13177.62,ATM,Success,0
134,31,14,4,2024-03-05,POS Purchase,34472.22,Online,Pending,0
135,27,3,20,2024-02-28,Deposit,28525.21,Online,Pending,0
136,38,10,18,2024-08-15,POS Purchase,13403.79,Branch,Pending,0
137,8,3,25,2024-07-21,Withdrawal,35086.26,ATM,Success,0
138,32,3,23,2025-03-15,Payment,7151.47,Mobile App,Success,0
139,12,7,15,2025-04-05,POS Purchase,37502.63,Online,Success,0
140,12,8,11,2025-07-27,Transfer,42512.81,Online,Pending,0
141,64,4,14,2024-07-03,Transfer,41425.76,Online,Success,0
142,63,10,5,2024-12-04,Deposit,2344.85,POS,Failed,0
143,1,2,6,2025-05-26,Withdrawal,49784.92,ATM,Success,0
144,47,3,9,2024-05-27,Deposit,18623.6,Branch,Success,0
145,30,7,21,2025-05-29,Deposit,35199.72,ATM,Success,0
146,29,8,3,2025-11-29,Payment,513.88,Mobile App,Success,0
147,62,14,14,2023-05-26,Withdrawal,19184.34,ATM,Success,0
148,18,6,12,2025-02-22,Withdrawal,32096.73,ATM,Success,0
149,22,9,19,2025-06-20,Transfer,36135.48,ATM,Success,1
150,28,10,22,2023-06-27,Deposit,7043.66,Online,Success,0
151,55,12,13,2024-10-06,Withdrawal,12426.93,POS,Success,0
152,78,9,20,2024-08-06,Deposit,42402.21,Mobile App,Success,0
153,51,9,20,2024-08-28,Deposit,39200.89,Mobile App,Success,0
154,77,7,4,2023-05-26,POS Purchase,44441.79,Online,Success,0
155,73,15,11,2025-05-11,Transfer,27340.49,Branch,Success,0
156,9,13,3,2023-01-29,Transfer,10826.36,Online,Success,1
157,65,9,10,2025-04-30,Payment,35105.44,Online,Success,0
158,11,9,20,2024-09-26,Deposit,25589.67,POS,Success,0
159,9,9,11,2024-09-27,Payment,36511.42,Mobile App,Success,0
160,15,4,3,2025-07-17,POS Purchase,30461.18,ATM,Success,0
161,2,2,1,2023-12-02,Payment,47653.16,Mobile App,Pending,0
162,48,13,24,2023-09-17,Transfer,36660.15,POS,Success,0
163,9,6,14,2024-06-22,POS Purchase,31395.27,ATM,Failed,0
164,73,9,12,2023-12-08,Transfer,7907.63,Online,Success,0
165,66,11,24,2023-01-06,Deposit,42941.52,POS,Success,0
166,20,1,16,2024-01-02,Deposit,27665.6,Mobile App,Failed,0
167,41,6,8,2024-07-09,Deposit,28598.22,Mobile App,Success,0
168,67,11,2,2023-04-05,Payment,3492.88,POS,Failed,0
169,71,13,10,2025-07-24,Deposit,18477.52,Branch,Success,0
170,32,13,10,2025-08-08,Transfer,29604.96,POS,Failed,0
171,32,12,18,2023-11-05,Deposit,46623.26,Mobile App,Success,0
172,2,9,12,2024-11-17,Deposit,37958.51,Mobile App,Failed,0
173,31,2,7,2025-05-09,Payment,48061.19,Branch,Success,0
174,67,2,2,2025-04-25,Transfer,22949.98,Branch,Success,0
175,51,2,17,2023-06-03,POS Purchase,28412.65,POS,Failed,0
176,41,4,10,2025-03-15,Transfer,15936.98,Mobile App,Success,0
177,75,2,7,2023-08-12,Withdrawal,5327.6,Mobile App,Failed,0
178,46,6,14,2024-03-01,Payment,15449.97,Online,Success,0
179,39,2,6,2023-03-24,Withdrawal,41804.44,ATM,Success,0
180,46,2,23,2025-03-22,POS Purchase,2495.08,Mobile App,Success,0
181,52,14,6,2025-07-15,POS Purchase,37416.52,Branch,Success,0
182,18,8,4,2023-09-06,Deposit,3130.38,ATM,Success,0
183,11,4,13,2024-06-14,Deposit,1138.92,Mobile App,Success,0
184,17,15,21,2023-07-08,Transfer,6170.26,Mobile App,Failed,0
185,51,3,19,2025-10-13,Deposit,19167.34,ATM,Failed,0
186,36,6,7,2024-07-27,Payment,44177.02,Mobile App,Success,0
187,38,10,20,2025-10-18,Payment,44144.79,POS,Failed,0
188,54,2,9,2024-02-13,POS Purchase,12494.93,ATM,Pending,0
189,70,7,23,2025-09-19,Transfer,45638.22,ATM,Pending,0
190,41,7,9,2024-03-24,Deposit,44793.45,Branch,Success,0
191,75,13,16,2024-04-21,Withdrawal,5051.71,ATM,Success,0
192,29,9,24,2025-03-06,Transfer,46763.54,Branch,Success,0
193,46,4,19,2023-02-27,Transfer,47380.56,Mobile App,Pending,0
194,64,10,7,2024-09-24,Withdrawal,24547.3,Mobile App,Success,0
195,68,4,20,2025-09-05,Deposit,16620.11,ATM,Pending,0
196,23,13,5,2024-10-24,Deposit,1144.55,Mobile App,Pending,0
197,47,13,4,2023-05-29,Transfer,35241.67,Mobile App,Failed,0
198,18,2,11,2023-11-19,Payment,39602.53,POS,Failed,0
199,79,3,23,2024-12-31,Withdrawal,33293.31,Branch,Success,0
200,17,5,24,2023-12-30,Deposit,47441.97,Online,Pending,0
